# %ECSV 0.9
# ---
# datatype:
# - {name: filenames, datatype: string}
# - {name: filter/grism, datatype: object}
# - {name: nvisit, datatype: int64}
# - {name: norbit, datatype: int64}
# - {name: times, datatype: float64}
# - {name: t_orbit, datatype: float64}
# - {name: t_visit, datatype: float64}
# - {name: scan, datatype: int64}
# schema: astropy-2.0
filenames filter/grism nvisit norbit times t_orbit t_visit scan
ie3206keq_ima.fits G141 1 3 58946.26282892 34.9002719996497 313.71680159820244 0
ie3206kfq_ima.fits G141 1 3 58946.26412521 36.76692959968932 315.58345919824205 1
ie3206kgq_ima.fits G141 1 3 58946.26542151 38.63360159564763 317.45013119420037 0
ie3206khq_ima.fits G141 1 3 58946.26671781 40.500273602083325 319.31680320063606 1
ie3206kiq_ima.fits G141 1 3 58946.2680141 42.36693120212294 321.1834608006757 0
ie3206kjq_ima.fits G141 1 3 58946.2693104 44.233603198081255 323.050132796634 1
ie3206kkq_ima.fits G141 1 3 58946.2706067 46.10027520451695 324.9168048030697 0
ie3206klq_ima.fits G141 1 3 58946.27190299 47.96693280455656 326.7834624031093 1
ie3202mtq_ima.fits F130N 2 0 58946.8363704 0.0 0.0 -1
ie3202muq_ima.fits G141 2 0 58946.83727336 1.3002623955253512 1.3002623955253512 0
ie3202mvq_ima.fits G141 2 0 58946.83856966 3.1669344019610435 3.1669344019610435 1
ie3202mxq_ima.fits G141 2 0 58946.83986595 5.03359200200066 5.03359200200066 0
ie3202mzq_ima.fits G141 2 0 58946.84116225 6.900263997958973 6.900263997958973 1
ie3202n1q_ima.fits G141 2 0 58946.84245855 8.766936004394665 8.766936004394665 0
ie3202n2q_ima.fits G141 2 0 58946.84375484 10.633593604434282 10.633593604434282 1
ie3202n4q_ima.fits G141 2 0 58946.84505114 12.500265600392595 12.500265600392595 0
ie3202n6q_ima.fits G141 2 0 58946.84634744 14.366937596350908 14.366937596350908 1
ie3202n8q_ima.fits G141 2 0 58946.84764373 16.233595196390525 16.233595196390525 0
ie3202n9q_ima.fits G141 2 0 58946.84894003 18.100267202826217 18.100267202826217 1
ie3202nbq_ima.fits G141 2 0 58946.85023632 19.966924802865833 19.966924802865833 0
ie3202ndq_ima.fits G141 2 0 58946.85153262 21.833596798824146 21.833596798824146 1
ie3202ngq_ima.fits G141 2 0 58946.85282892 23.70026879478246 23.70026879478246 0
ie3202nhq_ima.fits G141 2 0 58946.85412521 25.566926394822076 25.566926394822076 1
ie3202njq_ima.fits G141 2 0 58946.85542151 27.43359840125777 27.43359840125777 0
ie3202nlq_ima.fits G141 2 0 58946.85671781 29.30027039721608 29.30027039721608 1
ie3202nnq_ima.fits G141 2 0 58946.8580141 31.166927997255698 31.166927997255698 0
ie3202noq_ima.fits G141 2 0 58946.8593104 33.03360000369139 33.03360000369139 1
ie3202nqq_ima.fits G141 2 0 58946.8606067 34.9002719996497 34.9002719996497 0
ie3202nsq_ima.fits G141 2 0 58946.86190299 36.76692959968932 36.76692959968932 1
ie3202nuq_ima.fits G141 2 0 58946.86319929 38.63360159564763 38.63360159564763 0
ie3202nvq_ima.fits G141 2 0 58946.86449558 40.50025919568725 40.50025919568725 1
ie3202nxq_ima.fits G141 2 0 58946.86579188 42.36693120212294 42.36693120212294 0
ie3202nzq_ima.fits G141 2 0 58946.86708818 44.233603198081255 44.233603198081255 1
ie3202o1q_ima.fits G141 2 0 58946.86838447 46.10026079812087 46.10026079812087 0
ie3202o2q_ima.fits G141 2 0 58946.86968077 47.96693280455656 47.96693280455656 1
ie3202o4q_ima.fits F130N 2 1 58946.89944929 0.0 90.83360160235316 -1
ie3202o5q_ima.fits G141 2 1 58946.90035188 1.2997295998502523 92.13333120220341 0
ie3202o7q_ima.fits G141 2 1 58946.90164818 3.1664015958085656 94.00000319816172 1
ie3202o9q_ima.fits G141 2 1 58946.90294447 5.033059195848182 95.86666079820134 0
ie3202obq_ima.fits G141 2 1 58946.90424077 6.899731202283874 97.73333280463703 1
ie3202ocq_ima.fits G141 2 1 58946.90553707 8.766403198242188 99.60000480059534 0
ie3202oeq_ima.fits G141 2 1 58946.90683336 10.633060798281804 101.46666240063496 1
ie3202ogq_ima.fits G141 2 1 58946.90812966 12.499732794240117 103.33333439659327 0
ie3202oiq_ima.fits G141 2 1 58946.90942595 14.366390394279733 105.19999199663289 1
ie3202ojq_ima.fits G141 2 1 58946.91072225 16.233062400715426 107.06666400306858 0
ie3202olq_ima.fits G141 2 1 58946.91201855 18.09973439667374 108.9333359990269 1
ie3202onq_ima.fits G141 2 1 58946.91331484 19.966391996713355 110.79999359906651 0
ie3202opq_ima.fits G141 2 1 58946.91461114 21.83306399267167 112.66666559502482 1
ie3202oqq_ima.fits G141 2 1 58946.91590744 23.69973599910736 114.53333760146052 0
ie3202osq_ima.fits G141 2 1 58946.91720373 25.566393599146977 116.39999520150013 1
ie3202ouq_ima.fits G141 2 1 58946.91850003 27.43306559510529 118.26666719745845 0
ie3202owq_ima.fits G141 2 1 58946.91979632 29.299723195144907 120.13332479749806 1
ie3202oxq_ima.fits G141 2 1 58946.92109262 31.1663952015806 121.99999680393375 0
ie3202ozq_ima.fits G141 2 1 58946.92238892 33.03306719753891 123.86666879989207 1
ie3202p1q_ima.fits G141 2 1 58946.92368521 34.89972479757853 125.73332639993168 0
ie3202p3q_ima.fits G141 2 1 58946.92498151 36.76639679353684 127.59999839589 1
ie3202p4q_ima.fits G141 2 1 58946.92627781 38.633068799972534 129.4666704023257 0
ie3202p6q_ima.fits G141 2 1 58946.9275741 40.49972640001215 131.3333280023653 1
ie3202p8q_ima.fits G141 2 1 58946.9288704 42.366398395970464 133.19999999832362 0
ie3202paq_ima.fits G141 2 1 58946.9301667 44.233070402406156 135.0666720047593 1
ie3202pbq_ima.fits G141 2 1 58946.93146299 46.09972800244577 136.93332960479893 0
ie3202pdq_ima.fits G141 2 1 58946.93275929 47.966399998404086 138.80000160075724 1
ie3202pfq_ima.fits F130N 2 2 58946.96552558 0.0 185.9834592032712 -1
ie3202pgq_ima.fits G141 2 2 58946.96642855 1.3002767914440483 187.28373599471524 0
ie3202piq_ima.fits G141 2 2 58946.96772484 3.1669343914836645 189.15039359475486 1
ie3202pkq_ima.fits G141 2 2 58946.96902114 5.033606397919357 191.01706560119055 0
ie3202pmq_ima.fits G141 2 2 58946.97031744 6.90027839387767 192.88373759714887 1
ie3202pnq_ima.fits G141 2 2 58946.97161373 8.766935993917286 194.75039519718848 0
ie3202ppq_ima.fits G141 2 2 58946.97291003 10.633608000352979 196.61706720362417 1
ie3202prq_ima.fits G141 2 2 58946.97420632 12.500265600392595 198.4837248036638 0
ie3202ptq_ima.fits G141 2 2 58946.97550262 14.366937596350908 200.3503967996221 1
ie3202puq_ima.fits G141 2 2 58946.97679892 16.23360959230922 202.21706879558042 0
ie3202pwq_ima.fits G141 2 2 58946.97809521 18.100267192348838 204.08372639562003 1
ie3202pyq_ima.fits G141 2 2 58946.97939151 19.96693919878453 205.95039840205573 0
ie3202q0q_ima.fits G141 2 2 58946.98068781 21.833611194742844 207.81707039801404 1
ie3202q1q_ima.fits G141 2 2 58946.9819841 23.70026879478246 209.68372799805366 0
ie3202q3q_ima.fits G141 2 2 58946.9832804 25.566940801218152 211.55040000448935 1
ie3202q5q_ima.fits G141 2 2 58946.9845767 27.433612797176465 213.41707200044766 0
ie3202q7q_ima.fits G141 2 2 58946.98587299 29.30027039721608 215.28372960048728 1
ie3202q8q_ima.fits G141 2 2 58946.98716929 31.166942393174395 217.1504015964456 0
ie3202qaq_ima.fits G141 2 2 58946.98846558 33.03359999321401 219.0170591964852 1
ie3202qcq_ima.fits G141 2 2 58946.98976188 34.9002719996497 220.8837312029209 0
